Array Size,MeanOperations,MeanRuntime
10,10290925,nan
20,184,0.00134121
30,363,0.00111061
40,778,0.00098054
50,1143,0.00108929
60,1500,0.00146114
70,2049,0.00117225
80,2426,0.00099099
90,2909,0.00109578
100,3243,0.00078099
110,3897,0.00118094
120,4729,0.00123596
130,5300,0.00195639
140,5936,0.00182435
150,7153,0.00134403
160,9182,0.00233847
170,8705,0.00338249
180,9399,0.00101589
190,10916,0.00353759
200,11185,0.00248686
210,10878,0.00178121
220,10074,0.00172102
230,14431,0.00232183
240,12439,0.00424808
250,15076,0.00219674
260,16076,0.00269498
270,18267,0.00302225
280,21435,0.00200176
290,21481,0.00267438
300,21342,0.00184968
310,19117,0.00278219
320,25204,0.00227166
330,25013,0.00319813
340,26014,0.00217373
350,27054,0.00541153
360,24616,0.0030277
370,22269,0.00193158
380,22486,0.00327282
390,35504,0.00619645
400,27746,0.00223016
410,34981,0.00664502
420,38577,0.00320212
430,30283,0.00240913
440,41134,0.00276214
450,33706,0.00271932
460,33410,0.00308347
470,33852,0.00350029
480,40700,0.00365845
490,40303,0.00270713
500,38642,0.00257633
510,39992,0.00293856
520,45812,0.00387803
530,39923,0.00310815
540,41950,0.00292614
550,45649,0.00527551
560,39062,0.00358872
570,44290,0.00538981
580,49099,0.00634071
590,46719,0.00825836
600,43545,0.00333385
610,54700,0.00432931
620,53314,0.00327742
630,67397,0.00641641
640,49682,0.00827976
650,50466,0.0155972
660,60436,0.00993638
670,57647,0.00461019
680,51705,0.00655408
690,44957,0.00982416
700,62217,0.00815072
710,64908,0.00489186
720,62545,0.00548043
730,61119,0.00445683
740,67049,0.00322993
750,61455,0.0102317
760,80256,0.00897158
770,77461,0.0112507
780,65903,0.0103197
790,62283,0.0080878
800,74410,0.00515479
810,57697,0.00532926
820,82604,0.00487349
830,55186,0.00442942
840,59367,0.00445077
850,70636,0.00458462
860,89988,0.0108419
870,80087,0.00563153
880,74038,0.00561861
890,83254,0.00577491
900,76307,0.00428827
910,87100,0.00472349
920,87176,0.00423217
930,88598,0.00441895
940,79843,0.00428375
950,85400,0.00469145
960,79798,0.00929738
970,90155,0.00690566
980,91565,0.00677806
990,81038,0.00721109
1000,93776,0.00725352
1010,79862,0.00660149
1020,92464,0.00556431
1030,99082,0.00548777
1040,81925,0.00689913
1050,104962,0.00615067
1060,84275,0.00578994
1070,84226,0.00853675
1080,103929,0.0076328
1090,98347,0.00720562
1100,109020,0.00729382
1110,100431,0.00754293
1120,104234,0.0141125
1130,105358,0.00608067
1140,100664,0.00511027
1150,113486,0.00671662
1160,112654,0.00557876
1170,94724,0.00557041
1180,121224,0.00592342
1190,120029,0.00669315
1200,110032,0.0125749
1210,103841,0.00903012
1220,109405,0.0120838
1230,110179,0.0110252
1240,112575,0.0109129
1250,88516,0.00721613
1260,115274,0.00912208
1270,115758,0.0103725
1280,123973,0.0122089
1290,114385,0.00938697
1300,132913,0.00939389
1310,110021,0.00964304
1320,123128,0.00924256
1330,130760,0.0104641
1340,142295,0.0103656
1350,142508,0.0106696
1360,121656,0.00788213
1370,121731,0.0127842
1380,115022,0.012368
1390,144093,0.0138324
1400,135549,0.0101524
1410,131938,0.013375
1420,156288,0.0092005
1430,134323,0.00780106
1440,115652,0.0201223
1450,125773,0.0135579
1460,142281,0.0112589
1470,138938,0.0103124
1480,136777,0.00727455
1490,132342,0.00703171
1500,135119,0.0136528
1510,160799,0.0218836
1520,131059,0.0495699
1530,149887,0.0175475
1540,129999,0.0094003
1550,156619,0.00843479
1560,155026,0.0225116
1570,114160,0.00744629
1580,179595,0.0175654
1590,138942,0.00831745
1600,145668,0.00874471
1610,156587,0.0100993
1620,175127,0.00843235
1630,175557,0.00953483
1640,183863,0.0147646
1650,189404,0.0105588
1660,129285,0.00722598
1670,155701,0.00863506
1680,175086,0.00982815
1690,149104,0.00848728
1700,176118,0.0106882
1710,155621,0.0150411
1720,136333,0.00934451
1730,198938,0.0111059
1740,147965,0.0102041
1750,162989,0.00823735
1760,181616,0.012322
1770,170195,0.00905809
1780,172438,0.00993099
1790,219241,0.0103825
1800,200606,0.00954671
1810,183287,0.0106778
1820,186811,0.0120427
1830,155263,0.00938211
1840,163818,0.0087632
1850,205239,0.010655
1860,187424,0.0116863
1870,147239,0.0109984
1880,180045,0.0111124
1890,186992,0.0106145
1900,187450,0.0124514
1910,171962,0.0109077
1920,169313,0.0103809
1930,198031,0.0124631
1940,185678,0.0116522
1950,183888,0.0100463
1960,181070,0.00990975
1970,174151,0.00876465
1980,219926,0.00782843
1990,184062,0.0120182
2000,211933,0.0124359
2010,172231,0.0125786
2020,209006,0.0104177
2030,189773,0.0101126
2040,228388,0.0127438
2050,174308,0.0116949
2060,186833,0.00968154
2070,184368,0.0110152
2080,172598,0.0106022
2090,203886,0.0126111
2100,216742,0.0118176
2110,231441,0.0128119
2120,191896,0.0109421
2130,167701,0.0107372
2140,241685,0.0131475
2150,214276,0.0134598
2160,233431,0.0115339
2170,198984,0.0128339
2180,208007,0.00992348
2190,219206,0.011256
2200,186651,0.0102605
2210,199185,0.0110349
2220,220235,0.0123924
2230,241779,0.0128684
2240,215664,0.012143
2250,202454,0.0131775
2260,213091,0.010019
2270,186827,0.00909305
2280,178058,0.00902982
2290,175314,0.012597
2300,182195,0.0200606
2310,206794,0.00975868
2320,229789,0.0149277
2330,220602,0.0121694
2340,218088,0.0116557
2350,235510,0.0128362
2360,208936,0.0158952
2370,245949,0.0122895
2380,251484,0.0122139
2390,208894,0.0104754
2400,231431,0.0109021
2410,251786,0.0108667
2420,254551,0.0138394
2430,248996,0.0147913
2440,229461,0.0118297
2450,223373,0.0108373
2460,215014,0.0108184
2470,160880,0.00877273
2480,229158,0.0164243
2490,243548,0.0132521
2500,222760,0.0116188
2510,240939,0.0134232
2520,258676,0.0136337
2530,278367,0.0130652
2540,278426,0.01073
2550,223368,0.0116349
2560,208174,0.00875926
2570,216361,0.0104084
2580,246629,0.0128229
2590,258951,0.0148006
2600,214521,0.0117603
2610,274440,0.0118335
2620,241236,0.0131753
2630,239133,0.011744
2640,225211,0.0110978
2650,244078,0.0121976
2660,264703,0.0135555
2670,290440,0.0139525
2680,239207,0.0130377
2690,318565,0.0194652
2700,237323,0.0126993
2710,274042,0.0142073
2720,258903,0.011232
2730,273827,0.01369
2740,294113,0.0144514
2750,239931,0.0118429
2760,252724,0.0146205
2770,247880,0.0133815
2780,257168,0.0111195
2790,264369,0.0152073
2800,283986,0.0161315
2810,255647,0.013773
2820,302535,0.0284268
2830,292292,0.0143644
2840,248071,0.0139881
2850,282820,0.0140419
2860,286386,0.0145956
2870,290543,0.0116838
2880,251768,0.0143329
2890,274917,0.0126945
2900,335878,0.0152494
2910,274987,0.0125721
2920,262768,0.0138251
2930,280891,0.0174504
2940,322966,0.0133178
2950,358067,0.0176277
2960,290396,0.0175565
2970,233749,0.0138312
2980,253155,0.0125621
2990,325053,0.0161044
3000,286914,0.0129272
3010,284079,0.0140863
3020,285265,0.0130446
3030,321043,0.016876
3040,249046,0.011709
3050,365422,0.0169602
3060,254172,0.0128121
3070,332710,0.0235218
3080,305498,0.0159779
3090,304112,0.017422
3100,301687,0.0153364
3110,306796,0.0156658
3120,291969,0.0156852
3130,297411,0.0246799
3140,331415,0.0265077
3150,274057,0.012241
3160,277676,0.0100367
3170,320988,0.0130887
3180,345970,0.0167466
3190,346708,0.0138186
3200,260622,0.0139053
3210,330174,0.0128819
3220,282048,0.0115651
3230,271946,0.0110553
3240,306538,0.0134486
3250,340885,0.0141616
3260,310061,0.0127471
3270,289241,0.0124696
3280,301700,0.0126892
3290,309692,0.0135795
3300,215325,0.00857776
3310,370674,0.0161412
3320,355464,0.0119386
3330,283497,0.0170834
3340,346755,0.0136663
3350,315442,0.0130111
3360,344431,0.0142847
3370,318842,0.0137146
3380,345063,0.012149
3390,352693,0.014079
3400,354991,0.0125635
3410,366637,0.0145191
3420,292392,0.01144
3430,317696,0.0120094
3440,323644,0.0118244
3450,321170,0.0115806
3460,295018,0.0121295
3470,331809,0.0133488
3480,340489,0.0141484
3490,307939,0.0168618
3500,314910,0.0190839
3510,336969,0.018054
3520,338914,0.0172399
3530,357064,0.018894
3540,294374,0.0264769
3550,328779,0.0221971
3560,418467,0.0198739
3570,348120,0.0166127
3580,349238,0.0152401
3590,356280,0.0258419
3600,375051,0.0160799
3610,373134,0.0179159
3620,341705,0.0134267
3630,321747,0.0177946
3640,314773,0.0181964
3650,348953,0.0139985
3660,306843,0.0129981
3670,311901,0.02651
3680,324966,0.0145019
3690,328948,0.0153621
3700,363722,0.0181279
3710,359661,0.0261255
3720,372606,0.028578
3730,349183,0.0217672
